,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC5A4-AS1,29.40799509,-0.007860732,1.176931541,1.077458327,0.281275558,0.559801607
STAG3,68.34892289,-0.04359347,9.502321683,0.131925198,0.895043458,1
STMN3,67.97091273,2.087110272,0.389061111,0,1,1
CDCA2,13.60199049,-0.142214349,2.179554066,0.385821347,0.699628985,0.89691971
TLL1,150.9081928,-0.575920719,0.977417653,-0.510618972,0.609617888,0.836546161
HELZ2,67.03276631,1.112443922,5.226470013,2.21238792,0.026939873,0.106482367
LINC01697,321.288119,-0.124142863,2.454676323,0.643292055,0.520034611,0.771606314
MTFR1,451.6662943,-0.00162509,2.265119793,-0.131658549,0.895254373,1
AC009093.2,103.6677398,-0.645984279,4.245498544,0.41173955,0.680530333,0.885027895
HIST1H2BG,42.30676595,0.432703157,1.911179399,2.380339351,0.017296701,0.073832423
SELL,117.3377943,3.883256348,2.642029541,3.054879555,0.002251509,0.012598787
ZNF837,28.86463117,0.39271043,1.489180826,1.081155497,0.27962795,0.557579751
GFER,228.2502511,4.120277374,2.302328628,4.709933847,2.47797E-06,2.41709E-05
LINC00937,63.44575609,-0.184319343,1.392573369,-0.981608877,0.326292572,0.607672673
LLGL1,20.74159486,0.019873906,1.795452366,1.239147673,0.215290815,0.477450688
AC124798.1,22.66854133,0.030317299,1.773756322,0.909338154,0.363171657,0.646359222
KLRG1,122.057016,0.045707948,26.79507503,-0.001250664,0.999002115,1
ADTRP,113.6768139,0.328474494,1.096625274,1.316473531,0.188015157,0.44333292
RNF157-AS1,13.63814094,0.246705126,1.301150824,1.181014295,0.237597044,0.50710148
PRKG2,20.02348376,-0.155906957,1.341249759,1.181222003,0.237514542,0.50710148
